,Test,Statistic,p_value,lags_used,n_obs,IC_best,Conclusion
0,ADF,-6.32743782682202,2.962536530970327e-08,20.0,4404.0,21811.919311270907,Reject unit root (stationary)
1,PP,-32.092513755855165,0.0,,,,Reject unit root (stationary)
